<<<<<<< HEAD
2307.649355891185 2953.204344022576 3440.6439236039764 
2279.3190553977242 2856.2588585479416 3586.0295739892795 
2085.9217874700107 2728.9498989917397 3240.522799003826 
2061.1900712778383 2616.7133920498222 3164.959269802004 
1669.8209884168502 2468.5598139848544 3090.0916375584334 
1736.0154792116293 2367.131952068402 2845.299651304544 
1736.0154792116293 2271.731649983789 2766.9612671583745 
1642.0211393244429 2203.0938671694444 3017.7971839139846 
1609.0967767405252 2168.520609366181 2639.9206220198325 
1698.009168712695 2119.183878243125 2675.9216986161437 
1586.1456041685149 2054.17423615569 2619.7887585718004 
1664.822367612906 2044.6037646739794 2460.418408667262 
1664.8223676129057 1981.9289060986075 2345.9222131161137 
1642.0211393244429 1955.4396374975843 2258.1298117225333 
1637.0734341350517 1944.5965461116364 2425.2583886916614 
1665.020983897707 1927.5429123057695 2268.69313173286 
1643.0997625344764 1933.5871073608234 2427.889498958901 
1642.5788947947876 1895.7300327514233 2273.861251216645 
1593.8113768214478 1887.5431857298536 2334.864895608278 
1616.1406784138624 1887.6350578538559 2200.2574539046955 
1515.3019504352123 1860.9034351737425 2341.710030162634 
1602.6055805587573 1840.0942089410655 2196.080902169469 
1558.2024390359657 1839.4843959069494 2386.8805469983363 
1515.3019504352123 1835.1264716811036 2275.4481910480417 
1558.1979487633387 1820.480859449725 2322.4957623114165 
1541.3090102883014 1808.971946546488 2166.999115903624 
1558.1979487633387 1806.2117929687572 2222.442341221066 
1541.3090102883014 1790.8011395796555 2130.838938695847 
1528.8370482903176 1789.0160214005664 2234.9632044512555 
1528.8370482903176 1764.5239610197982 2199.1458115270507 
1515.3019504352123 1739.6567721060437 2151.80076632948 
1515.3019504352123 1713.069090920354 2078.0952627133493 
1515.3019504352123 1695.2891424239094 2010.8550321738444 
1515.3019504352121 1688.8719655877594 2219.6121952085487 
1515.3019504352121 1672.5761111183726 2067.2295373440375 
1515.3019504352121 1648.3796781976139 2072.8607073938497 
1515.3019504352121 1629.8419182893904 2004.1716398393942 
1515.3019504352121 1607.5081388187411 1942.0428351210685 
1503.3103435724838 1576.65072828955 1845.8285316065558 
1503.3103435724838 1547.9846964515548 1751.9467836827457 
1503.3103435724836 1526.7706734533556 1689.8546836317141 
1503.3103435724836 1519.6643977673355 1667.0256603403402 
1503.3103435724836 1518.124359114329 1615.641948152254 
1503.3103435724836 1523.4588476363406 1615.641948152254 
1503.3103435724836 1517.6465066982498 1615.641948152254 
1503.3103435724836 1513.894789246528 1615.641948152254 
1503.3103435724836 1511.150962650867 1676.7725906736248 
1503.3103435724836 1506.3302956078703 1615.641948152254 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
1503.3103435724836 1503.310343572482 1503.310343572484 
